traffic_sign_id_short;traffic_sign_id_long;description;division;image_url;law_url
A1;A01;Maximumsnelheid;Snelheid;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27593.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
A2;A02;Einde maximumsnelheid;Snelheid;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27594.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
A3;A03;Maximumsnelheid op een electronisch signaleringsbord;Snelheid;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27596.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
A4;A04;Adviessnelheid;Snelheid;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27597.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
A5;A05;Einde adviessnelheid;Snelheid;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27598.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
B1;B01;Voorrangsweg;Voorrang;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27599.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
B2;B02;Einde voorrangsweg;Voorrang;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27600.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
B3;B03;Voorrangskruispunt;Voorrang;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27601.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
B4;B04;Voorrangskruispunt Zijweg links;Voorrang;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27602.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
B5;B05;Voorrangskruispunt Zijweg rechts;Voorrang;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27603.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
B6;B06;Verleen voorrang aan bestuurders op de kruisende weg;Voorrang;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27604.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
B7;B07;"Stop; verleen voorrang aan bestuurders op de kruisende weg";Voorrang;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27605.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
C1;C01;Gesloten in beide richtingen voor voertuigen, ruiters en geleiders van rij- of trekdieren of vee;Geslotenverklaring;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27606.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
C2;C02;Eenrichtingsweg, in deze richting gesloten voor voertuigen, ruiters en geleiders van rij- of trekdieren of vee;Geslotenverklaring;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27607.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
C3;C03;Eenrichtingsweg;Geslotenverklaring;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27608.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
C4;C04;Eenrichtingsweg;Geslotenverklaring;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27609.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
C5;C05;Inrijden toegestaan;Geslotenverklaring;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27610.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
C6;C06;Gesloten voor motorvoertuigen op meer dan twee wielen;Geslotenverklaring;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27611.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
C7;C07;Gesloten voor vrachtauto's;Geslotenverklaring;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=27612.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
C7a;C7a;Gesloten voor autobussen;Geslotenverklaring;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=246891.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
C7b;C7b;Gesloten voor autobussen en vrachtauto’s;Geslotenverklaring;http://wetten.overheid.nl/afbeelding?toestandid=BWBR0004825/2017-07-01_0&naam=246892.png;http://wetten.overheid.nl/jci1.3:c:BWBR0004825&bijlage=1&z=2017-07-01&g=2017-07-01
