"","pano_id","geometry","direction"
"1","TMX7316010203-000249_pano_0000_001518","4.93032607257649 52.3535505796132",3
"2","TMX7316010203-000249_pano_0000_001518","4.93032607257649 52.3535505796132",3
"3","TMX7316010203-000249_pano_0000_001519","4.93044127672914 52.3536071235678",2
"4","TMX7316010203-000249_pano_0000_001519","4.93044127672914 52.3536071235678",3
"5","TMX7316010203-000249_pano_0000_001520","4.9305318630279 52.3536772711767",1
"6","TMX7316010203-000249_pano_0000_001538","4.92881988339593 52.3549016204694",2
"7","TMX7316010203-000249_pano_0000_001539","4.92872407419854 52.3549692105808",1
"8","TMX7316010203-000249_pano_0000_001540","4.92862796522778 52.355036316392",2
"9","TMX7316010203-000249_pano_0000_001548","4.92849442130253 52.3551840440014",1
"10","TMX7316010203-000249_pano_0000_001549","4.92846768442773 52.3551053971597",2
"11","TMX7316010203-000249_pano_0000_001549","4.92846768442773 52.3551053971597",4
"12","TMX7316010203-000249_pano_0000_001550","4.92852993566202 52.3550279122817",2
"13","TMX7316010203-000249_pano_0000_001551","4.92863334950963 52.3549617057793",4
"14","TMX7316010203-000249_pano_0000_001552","4.92873669372166 52.3548946551465",2
"15","TMX7316010203-000299_pano_0002_001999","4.95576963346869 52.391790408141",1
"16","TMX7316010203-000299_pano_0002_002000","4.95563538002008 52.391746698677",4
"17","TMX7316010203-000321_pano_0000_004663","4.8191073681545 52.3878331013481",3
"18","TMX7316010203-000321_pano_0000_004664","4.81917902129691 52.3878255051542",3
"19","TMX7316010203-000321_pano_0000_004665","4.81925372560142 52.3878297634376",2
"20","TMX7316010203-000526_pano_0000_007128","5.18962843740847 52.3735422426011",4
"21","TMX7316010203-000526_pano_0000_007129","5.18958101884779 52.3735082762759",3
"22","TMX7316010203-000323_pano_0000_006436","4.80720549972681 52.3967534303524",2
"23","TMX7316010203-000323_pano_0000_006437","4.80717090647698 52.3967930813184",2
"24","TMX7316010203-000520_pano_0000_000536","4.89542814863328 52.4036786134835",1
"25","TMX7316010203-000520_pano_0000_000541","4.89518667129358 52.4035183238476",1
"26","TMX7316010203-000520_pano_0000_000542","4.8951433847779 52.4034836228159",4
"27","TMX7316010203-000520_pano_0000_000543","4.89510012347327 52.4034488445631",3
"28","TMX7316010203-000494_pano_0000_001941","5.28210724598151 52.3913112756826",3
"29","TMX7316010203-000471_pano_0000_005548","4.78952280083858 52.2778621360662",2
"30","TMX7316010203-000437_pano_0000_000183","4.85420134505761 52.2882591712287",2
"31","TMX7316010203-000230_pano_0000_000007","4.92154039167541 52.3523534503801",4
"32","TMX7316010203-000230_pano_0000_000008","4.92162795581692 52.3522813830007",2
"33","TMX7316010203-000230_pano_0000_000008","4.92162795581692 52.3522813830007",4
"34","TMX7316010203-000230_pano_0000_000009","4.92171647913872 52.3522099376851",2
"35","TMX7316010203-000263_pano_0001_002930","4.86372960254148 52.3473364960235",1
"36","TMX7316010203-000263_pano_0001_002930","4.86372960254148 52.3473364960235",4
"37","TMX7316010203-000263_pano_0001_002931","4.8636166195826 52.3473902977422",2
"38","TMX7316010203-000263_pano_0001_002932","4.86349020404124 52.3474352754791",2
"39","TMX7316010203-000263_pano_0001_002932","4.86349020404124 52.3474352754791",4
"40","TMX7316010203-000263_pano_0001_002933","4.86336411925148 52.3474799076744",1
"41","TMX7316010203-000263_pano_0001_002933","4.86336411925148 52.3474799076744",4
"42","TMX7316010203-000263_pano_0001_002934","4.86323838259749 52.3475243993219",4
"43","TMX7316010203-000263_pano_0001_002944","4.86207100829904 52.3479949723334",1
"44","TMX7316010203-000263_pano_0001_002944","4.86207100829904 52.3479949723334",4
"45","TMX7316010203-000263_pano_0001_002946","4.86181084395095 52.3479848301899",1
"46","TMX7316010203-000263_pano_0001_002947","4.86172373317416 52.3479122178871",3
"47","TMX7316010203-000263_pano_0001_002947","4.86172373317416 52.3479122178871",4
"48","TMX7316010203-000263_pano_0001_002960","4.8606847409248 52.3469126063655",1
"49","TMX7316010203-000263_pano_0001_002961","4.86059678825781 52.3468392075426",1
"50","TMX7316010203-000263_pano_0001_002961","4.86059678825781 52.3468392075426",3
"51","TMX7316010203-000239_pano_0002_001377","4.92404518607438 52.3596492149257",3
"52","TMX7316010203-000239_pano_0002_001378","4.92418348127953 52.3596781363765",1
"53","TMX7316010203-000321_pano_0000_008042","4.8407272579199 52.3859462183928",1
"54","TMX7316010203-000321_pano_0000_008043","4.84065784703955 52.3859469413332",4
"55","TMX7316010203-000321_pano_0000_008045","4.84051686217043 52.3859496935859",1
"56","TMX7316010203-000321_pano_0000_008046","4.84044674208815 52.3859480654748",1
"57","TMX7316010203-000321_pano_0000_008047","4.84037873776852 52.3859368878737",4
"58","TMX7316010203-000321_pano_0000_008048","4.84031783961175 52.385914568482",3
"59","TMX7316010203-000321_pano_0000_008049","4.84026863902393 52.3858829998132",4
"60","TMX7316010203-000321_pano_0000_008050","4.8402359912142 52.3858442711232",3
"61","TMX7316010203-000321_pano_0000_008051","4.84021771057499 52.3858015491968",3
"62","TMX7316010203-000508_pano_0000_014140","5.15508290634602 52.3623237144478",2
"63","TMX7316010203-000508_pano_0000_014141","5.15512599736782 52.3623605893444",1
"64","TMX7316010203-000232_pano_0000_004153","4.93540752273101 52.3510647671681",1
"65","TMX7316010203-000232_pano_0000_004154","4.9352952036763 52.3510056601806",1
"66","TMX7316010203-000232_pano_0000_004154","4.9352952036763 52.3510056601806",3
"67","TMX7316010203-000335_pano_0000_011874","4.96567330702039 52.3000830459444",4
"68","TMX7316010203-000335_pano_0000_011875","4.96561036364658 52.3000602268994",3
"69","TMX7316010203-000352_pano_0000_001269","4.91976553570537 52.4053314037223",4
"70","TMX7316010203-000352_pano_0000_001270","4.91971847993429 52.4052957364451",3
"71","TMX7316010203-000352_pano_0000_001272","4.91961392597745 52.4052305386306",4
"72","TMX7316010203-000352_pano_0000_001273","4.91954860997111 52.4052088601426",4
"73","TMX7316010203-000352_pano_0000_001274","4.91947831994771 52.4051961221703",1
"74","TMX7316010203-000352_pano_0000_001275","4.91940569259629 52.4051912768605",1
"75","TMX7316010203-000352_pano_0000_001275","4.91940569259629 52.4051912768605",4
"76","TMX7316010203-000352_pano_0000_001276","4.91933263868197 52.4051937786551",4
"77","TMX7316010203-000352_pano_0000_001277","4.91926066367621 52.4052027134774",4
"78","TMX7316010203-000335_pano_0000_011949","4.96083518977104 52.2984747041656",1
"79","TMX7316010203-000335_pano_0000_011949","4.96083518977104 52.2984747041656",2
"80","TMX7316010203-000335_pano_0000_011950","4.96077381657784 52.2984982574753",1
"81","TMX7316010203-000335_pano_0000_011951","4.96073382995968 52.2985356325841",1
"82","TMX7316010203-000335_pano_0000_011951","4.96073382995968 52.2985356325841",4
"83","TMX7316010203-000525_pano_0000_000976","5.13397593325454 52.3562887421805",1
"84","TMX7316010203-000245_pano_0000_000325","4.96205666191772 52.3706193579142",4
"85","TMX7316010203-000285_pano_0000_000499","4.80399579716024 52.3493108990629",3
"86","TMX7316010203-000285_pano_0000_000500","4.80413672503087 52.3493373895131",2
"87","TMX7316010203-000285_pano_0000_000501","4.80427791786132 52.3493640631106",3
"88","TMX7316010203-000265_pano_0000_001309","4.8528409875182 52.3666087768111",2
"89","TMX7316010203-000265_pano_0000_001310","4.85280584922097 52.3666942299301",1
"90","TMX7316010203-000324_pano_0000_003597","5.01546976577147 52.3043885178352",2
"91","TMX7316010203-000324_pano_0000_003598","5.01540297874443 52.3043692666291",3
"92","TMX7316010203-000299_pano_0002_000114","4.93929462741504 52.3969386400488",3
"93","TMX7316010203-000299_pano_0002_000117","4.93966473730214 52.3967902128724",3
"94","TMX7316010203-000299_pano_0002_000122","4.94028983952915 52.3965468645017",2
"95","TMX7316010203-000299_pano_0002_000128","4.94104273238667 52.3962548295694",3
"96","TMX7316010203-000299_pano_0002_000129","4.94116897700997 52.3962065520403",2
"97","TMX7316010203-000299_pano_0002_000130","4.94129574733827 52.3961589677596",2
"98","TMX7316010203-000241_pano_0000_002154","5.01062911351927 52.3524478407558",1
"99","TMX7316010203-000434_pano_0000_002061","4.85075939491189 52.2976366758078",3
"100","TMX7316010203-000434_pano_0000_002062","4.85083262804481 52.2976458736146",2
"101","TMX7316010203-000434_pano_0000_002063","4.85089934522636 52.2976642672411",2
"102","TMX7316010203-000434_pano_0000_002064","4.85096239967218 52.2976868596437",2
"103","TMX7316010203-000279_pano_0000_006198","4.87270529000434 52.3927548859751",4
"104","TMX7316010203-000420_pano_0002_001512","4.87279957033143 52.3113195308841",2
"105","TMX7316010203-000420_pano_0002_001531","4.87240546664348 52.3119993666247",4
"106","TMX7316010203-000420_pano_0002_001532","4.87233831102867 52.3119884004675",4
"107","TMX7316010203-000420_pano_0002_001628","4.87064938629849 52.3156973313274",2
"108","TMX7316010203-000420_pano_0002_001630","4.87078714903912 52.3157235599062",2
"109","TMX7316010203-000297_pano_0000_001072","4.92482340912623 52.3884989671677",2
"110","TMX7316010203-000297_pano_0000_001073","4.92487300646751 52.3885816767021",2
"111","TMX7316010203-000248_pano_0000_001645","4.93048107286909 52.3612751947293",2
"112","TMX7316010203-000248_pano_0000_001646","4.93049492671292 52.3613642113673",1
"113","TMX7316010203-000248_pano_0000_001646","4.93049492671292 52.3613642113673",2
"114","TMX7316010203-000248_pano_0000_001647","4.93049700436501 52.3614541938066",1
"115","TMX7316010203-000248_pano_0000_001656","4.93043030599269 52.361406975743",3
"116","TMX7316010203-000248_pano_0000_001657","4.93038328151006 52.3613211002009",4
"117","TMX7316010203-000248_pano_0000_001658","4.93025264685449 52.3612754793115",4
"118","TMX7316010203-000248_pano_0000_001662","4.92968700965138 52.3611580286354",1
"119","TMX7316010203-000248_pano_0000_001663","4.92954949373935 52.3611256980683",3
"120","TMX7316010203-000283_pano_0000_003747","4.80002859785787 52.358001505956",1
"121","TMX7316010203-000283_pano_0000_003747","4.80002859785787 52.358001505956",2
"122","TMX7316010203-000283_pano_0000_003748","4.79998788913434 52.3580857933501",1
"123","TMX7316010203-000283_pano_0000_003749","4.79994829835482 52.3581678149508",4
"124","TMX7316010203-000521_pano_0000_002118","4.86834661688451 52.3422916856446",2
"125","TMX7316010203-000521_pano_0000_002119","4.8683428715307 52.342336767592",1
"126","TMX7316010203-000521_pano_0000_002122","4.86832183993304 52.3424727547307",1
"127","TMX7316010203-000521_pano_0000_002124","4.86822752618168 52.3425352293483",3
"128","TMX7316010203-000285_pano_0000_001057","4.81658042769363 52.3461397599012",1
"129","TMX7316010203-000297_pano_0000_005248","4.93693644934589 52.3935516026931",1
"130","TMX7316010203-000297_pano_0000_005253","4.93627370243956 52.3937521734698",1
"131","TMX7316010203-000458_pano_0000_001944","4.86630082854306 52.2957172162613",1
"132","TMX7316010203-000458_pano_0000_001945","4.86629714547061 52.2957617818388",1
"133","TMX7316010203-000458_pano_0000_002211","4.86619469300806 52.2957244035542",4
"134","TMX7316010203-000458_pano_0000_002212","4.86618077314641 52.2956801178005",3
"135","TMX7316010203-000321_pano_0000_005123","4.83617327881342 52.3908553461554",2
"136","TMX7316010203-000321_pano_0000_005124","4.83613951433339 52.3908941868496",1
"137","TMX7316010203-000321_pano_0000_005125","4.8360830075922 52.390919223245",4
"138","TMX7316010203-000321_pano_0000_005129","4.83578397654237 52.390917449058",3
"139","TMX7316010203-000321_pano_0000_005143","4.83490853636111 52.3905841154242",1
"140","TMX7316010203-000321_pano_0000_005144","4.83484434303849 52.3905620786219",4
"141","TMX7316010203-000249_pano_0000_002247","4.92792067408304 52.3402960306333",3
"142","TMX7316010203-000395_pano_0002_001526","4.84763496325553 52.3156173495462",3
"143","TMX7316010203-000395_pano_0002_001527","4.84770742640601 52.3156161950411",2
"144","TMX7316010203-000395_pano_0002_001528","4.84777948468774 52.315612255588",2
"145","TMX7316010203-000227_pano_0001_000003","4.88866222151778 52.3732553246564",1
"146","TMX7316010203-000496_pano_0000_001073","5.31310501387335 52.4069561422874",3
"147","TMX7316010203-000496_pano_0000_001075","5.31306034415051 52.4068743471527",1
"148","TMX7316010203-000496_pano_0000_001076","5.31300777705249 52.4068434703284",2
"149","TMX7316010203-000496_pano_0000_001076","5.31300777705249 52.4068434703284",4
"150","TMX7316010203-000496_pano_0000_001077","5.31294810327154 52.4068172492242",3
"151","TMX7316010203-000496_pano_0000_001077","5.31294810327154 52.4068172492242",4
"152","TMX7316010203-000336_pano_0000_010260","4.97928386531885 52.316199830272",1
"153","TMX7316010203-000336_pano_0000_010261","4.97921871620431 52.3161775453554",4
"154","TMX7316010203-000336_pano_0000_010262","4.97915330133089 52.3161554658638",4
"155","TMX7316010203-000521_pano_0000_000772","4.86173450367356 52.3353081188707",4
"156","TMX7316010203-000521_pano_0000_000773","4.86173854680215 52.3352629377423",3
"157","TMX7316010203-000460_pano_0000_000143","4.8262873690008 52.2889744442605",1
"158","TMX7316010203-000460_pano_0000_000144","4.82622457519985 52.2889977976165",4
"159","TMX7316010203-000258_pano_0002_001055","4.89102286809031 52.3471777057346",4
"160","TMX7316010203-000258_pano_0002_001056","4.8910254839241 52.3470873561725",3
"161","TMX7316010203-000258_pano_0002_001059","4.89104700633361 52.3468214427178",3
"162","TMX7316010203-000258_pano_0002_001070","4.89111689632624 52.3468109488929",2
"163","TMX7316010203-000258_pano_0002_001072","4.89115241662778 52.3469874187826",3
"164","TMX7316010203-000258_pano_0002_001073","4.89117253252376 52.3470752324852",2
"165","TMX7316010203-000258_pano_0002_001074","4.89119125623902 52.3471631268608",1
"166","TMX7316010203-000332_pano_0001_009799","4.94400093652895 52.3188279739829",3
"167","TMX7316010203-000332_pano_0001_009800","4.9440576881619 52.3188015565893",3
"168","TMX7316010203-000332_pano_0001_009802","4.94414810135437 52.3187334751255",4
"169","TMX7316010203-000332_pano_0001_009803","4.94415384156324 52.3186858417113",4
"170","TMX7316010203-000224_pano_0000_001057","4.90308073063276 52.3761755627741",3
"171","TMX7316010203-000224_pano_0000_001058","4.90316835386524 52.3762392829372",1
"172","TMX7316010203-000466_pano_0000_002652","4.79407386551343 52.269212566343",2
"173","TMX7316010203-000466_pano_0000_002653","4.79403739412347 52.2692514708838",1
"174","TMX7316010203-000466_pano_0000_002654","4.79400134712697 52.2692905703494",1
"175","TMX7316010203-000448_pano_0000_005078","4.82546483592906 52.2815978558992",3
"176","TMX7316010203-000289_pano_0000_002785","4.80716345512144 52.3668076820268",3
"177","TMX7316010203-000289_pano_0000_002786","4.80730760780951 52.3668338088572",2
"178","TMX7316010203-000289_pano_0000_002789","4.80773735967919 52.3669190673345",3
"179","TMX7316010203-000289_pano_0000_002790","4.80788091820402 52.3669469667651",2
"180","TMX7316010203-000227_pano_0001_000208","4.89826439160269 52.3772138653651",4
"181","TMX7316010203-000227_pano_0001_000209","4.89834525734143 52.3771393503224",2
"182","TMX7316010203-000505_pano_0000_005093","5.14512216826846 52.3581179651564",2
"183","TMX7316010203-000493_pano_0000_000064","5.27746418619857 52.3870245302539",2
"184","TMX7316010203-000493_pano_0000_000065","5.27741677073503 52.3870596708522",1
"185","TMX7316010203-000274_pano_0002_002319","4.85897224135413 52.3712056836447",2
"186","TMX7316010203-000274_pano_0002_002322","4.85909959550892 52.3714129707418",3
"187","TMX7316010203-000274_pano_0002_002323","4.85924329480527 52.3714272487451",2
"188","TMX7316010203-000274_pano_0002_002327","4.85981872915761 52.3714646283514",3
"189","TMX7316010203-000274_pano_0002_002328","4.85995765186284 52.3714419199569",2
"190","TMX7316010203-000494_pano_0000_000962","5.27729390159796 52.3877283005211",2
"191","TMX7316010203-000336_pano_0000_012910","4.98929220524571 52.2973906042603",2
"192","TMX7316010203-000336_pano_0000_012911","4.98929249878581 52.2974361194069",1
"193","TMX7316010203-000352_pano_0002_000180","4.91440707245039 52.4084248163877",3
"194","TMX7316010203-000352_pano_0002_000181","4.91444987847282 52.4084607292212",2
"195","TMX7316010203-000352_pano_0002_000182","4.91449248737313 52.4084966346907",2
"196","TMX7316010203-000352_pano_0002_000183","4.91453499452452 52.4085322891238",1
"197","TMX7316010203-000352_pano_0002_000184","4.91457744389233 52.408567576706",1
"198","TMX7316010203-000352_pano_0002_000194","4.91501202845431 52.4089250016042",3
"199","TMX7316010203-000352_pano_0002_000195","4.91506273949983 52.4089578046059",2
"200","TMX7316010203-000352_pano_0002_000196","4.91511642350218 52.4089883126339",2
"201","TMX7316010203-000352_pano_0002_000201","4.9154269545188 52.4091002796151",4
"202","TMX7316010203-000352_pano_0002_000202","4.91546532905555 52.4091378560745",4
"203","TMX7316010203-000335_pano_0000_005294","4.97432066337234 52.2951274084266",3
"204","TMX7316010203-000335_pano_0000_005304","4.97450148219625 52.2946923340195",4
"205","TMX7316010203-000335_pano_0000_005305","4.97451035087819 52.2946474473243",3
"206","TMX7316010203-000335_pano_0000_008135","4.96806204878668 52.2985076529549",2
"207","TMX7316010203-000335_pano_0000_008136","4.96813111042553 52.2985249466158",3
"208","TMX7316010203-000335_pano_0000_008137","4.96819116956389 52.2985483007947",2
"209","TMX7316010203-000335_pano_0000_008138","4.96823087647569 52.2985856486999",1
"210","TMX7316010203-000335_pano_0000_008138","4.96823087647569 52.2985856486999",2
"211","TMX7316010203-000335_pano_0000_008139","4.96825085138602 52.298628539081",2
"212","TMX7316010203-000335_pano_0000_008140","4.96825183285332 52.2986735767735",1
"213","TMX7316010203-000335_pano_0000_008141","4.96823259841039 52.29871748218",1
"214","TMX7316010203-000259_pano_0008_000922","4.85265479235563 52.3508377020756",2
"215","TMX7316010203-000448_pano_0000_005235","4.82449714655421 52.2835946124828",1
"216","TMX7316010203-000448_pano_0000_005270","4.82442541518721 52.2836462314079",4
"217","TMX7316010203-000292_pano_0001_000014","4.79133953378379 52.3556553338436",4
"218","TMX7316010203-000292_pano_0001_000015","4.79138658539907 52.3555699905698",3
"219","TMX7316010203-000292_pano_0001_000021","4.79165215247775 52.3550537528339",4
"220","TMX7316010203-000292_pano_0001_000022","4.79169664410858 52.3549673602998",3
"221","TMX7316010203-000292_pano_0001_000022","4.79169664410858 52.3549673602998",4
"222","TMX7316010203-000292_pano_0001_000023","4.79174123654857 52.3548817966534",3
"223","TMX7316010203-000312_pano_0000_000601","4.88059239164514 52.4151527011531",1
"224","TMX7316010203-000312_pano_0000_000602","4.88053381889559 52.4151840283287",1
"225","TMX7316010203-000408_pano_0000_000757","4.73739434466567 52.2657259675291",2
"226","TMX7316010203-000285_pano_0000_001475","4.81573742428591 52.3460982795763",1
"227","TMX7316010203-000285_pano_0000_001479","4.81532401548352 52.3462827506748",1
"228","TMX7316010203-000526_pano_0000_002096","5.18360344723836 52.3668724630588",1
